Seniority,Function,Subject Line,Hook 1,Z_Contact Status,Email Opened,Email Replied
Sr. Manager,Warehouse Operations,"""Leaders listen."" ","You posted a Simon Sinek video a while back and it caught my eye as I was doing some research. That, and your expertise in Warehouse Operations are why I'd like to speak with you, 1:1.",Unresponsive,10/26/2022,
Director,Supply Chain,Supply chain conversation ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr Supply Chain & Operations professionals - would love to connect.",Unresponsive,,
Director,Warehouse Operations,Your 21+ years of supply chain & distribution experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your Manufacturing Management expertise ,"Came across your profile and was super impressed with your background, in particular with your experience in Manufacturing Management & Distribution Planning. Had to reach out! ",Attempting to Contact,,
VP,Supply Chain,how's Stanley been?,"Saw you been working at SB&D the past 3 years, really impressed with how quickly you are climbing the ladder and I wanted to reach out to connect. ",Unresponsive,9/19/2022,
Sr. Manager,Supply Chain,Your Supply Chain career in Retail ,"Given your expertise in Supply Chain in Retail, I'd love to get your input on a platform my team has been working on. Your insight would be so valuable.",Unresponsive,,
Sr. Manager,Supply Chain,Your Supply Chain experience in business supplies & Equipment ,"Given your Supply Chain experience in the business supplies and equipment industry, I'd love to get your input on a platform my team has been working on. Your insight would be so valuable.",Unresponsive,,
Sr. Manager,Supply Chain,Your 22+ years of Operation Global supply chain experience,"Given your 22+ years of Operation Global supply chain experience, I'd love to get your input on a platform my team has been working on. Your insight would be so valuable.",Unresponsive,,
Director,Distribution,Your unique distribution expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/6/2022,
Director,Delivery,Your operations experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Supply Chain,Your impressive supply chain experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Supply Chain,Your career in supply chain,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Supply Chain,Wow– from Store Mgr. to Sr Supply Chain Mgr,You've had an impressive run at Stop & Shop. It's why I'm so interested in speaking 1:1 with you about your background in Supply Chain.,Attempting to Contact,,
Director,Distribution,Distribution + transportation experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your warehouse management expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your warehouse operations expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/14/2022,
Director,Warehouse Operations,Over the years at Sysco,Wanted to get in touch after seeing your position leading up the Warehouse team at Sysco since 1996. Impressed with your tenure over the years and would love to connect.,Attempting to Contact,,
VP,Warehouse Operations,Your warehouse operations expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Supply Chain,Supply chain conversation,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Supply Chain,Supply chain conversation,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/26/2022,
VP,Distribution,Your warehouse operations experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/6/2022,
Director,Warehouse Operations,Founder & Supply Chain exec chat,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your expertise in warehouse operations ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your impressive warehouse operations career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Interested,9/6/2022,9/5/2022
Director,Warehouse Operations,Your warehouse operations career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Not Interested,9/14/2022,8/26/2022
Director,Warehouse Operations,your Sysco experience ,"Just read on LinkedIn that you been at Sysco for 3 years! Impressed by you, I wanted to reach out to connect.",Unresponsive,,
Director,Warehouse Operations,Your extensive distribution experience ,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your extensive supply chain & operations background in telecommunications, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,,
Director,Warehouse Operations,Idea exchange warehouse operations ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your warehouse operations background,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/5/2022,
Director,Warehouse Operations,Your warehouse automation experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/13/2022,
Director,Warehouse Operations,Tech operation founder fishing for feedback ,"Super impressed with your warehouse operations background and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your 27+ years of warehouse & operations career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your extensive distribution experience ,Really impressed with your experience in supply chain over the years - I’m in the process of conducting interviews regarding a current initiative of mine and would be thrilled at the opportunity to connect.,Unresponsive,,
Director,Warehouse Operations,Your extensive distribution experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Question for an expert - warehouse operation,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your background in warehouse operations,  you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Attempting to Contact,,
Director,Warehouse Operations,Your warehouse operations experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Distribution,Your warehouse automation experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Supply Chain,Your 19+ years of experience,"I was checking out the T-Mobile team & your profile caught my attention. Specifically, your impressive background overseeing warehousing, distribution, & supply chain operations. Can't imagine the wealth of knowledge you've accumulated over the course of your career & would be grateful for your feedback on a project of mine - your insight would be invaluable to me.",Unresponsive,8/19/2022,
Director,Supply Chain,Your extensive supply chain career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Disqualified,8/31/2022,8/25/2022
Director,Supply Chain,Your career in supply chain ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/15/2022,
Director,Fulfillment,Your experience in operations ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/26/2022,
Director,Supply Chain,Your supply chain career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/13/2022,
Director,Distribution,Your extensive distribution experience ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr supply chain professionals - would love to connect.",Unresponsive,9/19/2022,
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/19/2022,
VP,Distribution,Your 31+ year career in distribution & transportation ,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your 31+ years of experience in distribution & transportation, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,,
Sr. Manager,Supply Chain,Supply chain strategy conversation ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/15/2022,
Sr. Manager,Supply Chain,Your insights on leading new site Optimization ,"Given your expertise in Supply Chain and experience leading new site Optimization at Target, I'd love to get your input on a platform my team has been working on. Your insight would be so valuable.",Unresponsive,,
Director,Distribution,Your distribution expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/26/2022,
Director,Distribution,Your warehouse automation experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/28/2022,
Director,Distribution,Your impressive career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/12/2022,
Director,Distribution,"Kara, I am a founder seeking feedback",Just finished reading through your LinkedIn profile and became really curious to learn more from a leader like you with your level of expertise. Would be honored to connect.,Unresponsive,9/26/2022,
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/12/2022,
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/12/2022,
Director,Distribution,Idea exchange Logistics & Fulfillment,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/5/2022,
Director,Distribution,Your impressive career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/19/2022,
Director,Distribution,Your career at distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/5/2022,
Director,Distribution,Warehouse automation innovation,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr supply chain professionals - would love to connect.",Unresponsive,9/13/2022,
Director,Distribution,Your distribution expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/12/2022,
Director,Distribution,Your distribution experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/12/2022,
Director,Distribution,Your distribution experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/15/2022,
Director,Supply Chain,Operation + supply chain expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/19/2022,
Director,Supply Chain,Your career in supply chain ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/26/2022,
Director,Supply Chain,Your warehouse automation experience ,Really impressed with your experience in supply chain over the years - I’m in the process of conducting interviews regarding a current initiative of mine and would be thrilled at the opportunity to connect.,Unresponsive,9/19/2022,
Director,Supply Chain,Your career in supply chain,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/26/2022,
Director,Fulfillment,Idea exchange operations ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/23/2022,
Director,Fulfillment,Your fulfillment operations background,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/19/2022,
Director,Warehouse Operations,Your 20+ years of experience Supply Chain & Warehouse Management ,"You have quite a unique and accomplished career to day in Supply Chain, Mark. It's why I'm reaching out 1:1 to you in particular re: your experience at CocaCola.",Attempting to Contact,,
Director,Distribution,Your distribution expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Supply Chain,Your 14+ years of operations career ,"Super impressed with your global operations experience and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Distribution,Veteran + Operations & distribution expert ,Extremely impressed with your distribution background - curious about how you feel working in the private sector after three years with the military. I'd value a chance to connect.,Unresponsive,9/9/2022,
VP,Distribution,"Your 20+ years of supply chain, distribution & operations career ","Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/11/2022,
Director,Distribution,Your 15+ years of distribution & supply chain experience ,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your supply chain & distribution background across multiple industries, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Attempting to Contact,8/12/2022,
VP,Distribution,Your extensive distribution experience,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/19/2022,
Director,Warehouse Operations,Your 19+ years of warehouse operations experience,"Super impressed with your warehouse operations background and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Warehouse Operations,Your 8+ years of operations experience ,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your background in operations in the retail industry, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,,
Director,Distribution,Your 30+ years of warehouse & distribution career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
VP,Supply Chain,Your supply chain expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Founder & Supply Chain exec chat,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
VP,Distribution,Idea exchange Logistics & Fulfillment,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr supply chain professionals - would love to connect.",Not Interested,9/1/2022,8/31/2022
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/12/2022,
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your Operations Expertise,"I know this is a long shot, but I was compelled to reach out after stumbling upon your LinkedIn profile and reading about your extensive warehouse & distribution experience. Not to mention the spotlight in your bio on your breadth of expertise! Looking to connect with distribution leaders to gain feedback on my new platform & believe your feedback would be invaluable.",Unresponsive,,
Sr. Manager,Supply Chain,Your 8+ years in supply chain & operations ,Came across your profile and couldn't avoid noticing your amazing career progression at Ulta Beauty & extensive supply chain experience. Had to reach out!,Unresponsive,,
Sr. Manager,Supply Chain,Your Supply Chain roles at ULTA,"I saw your posts re: a few Supply Chain roles at ULTA and thought you, in particular, would be a great expert for a 1:1 chat. Specifically, your background in Supply Chain and Operations is a unique fit for our research.",Not Interested,11/22/2022,11/21/2022
Director,Warehouse Operations,Your 12+ years of warehouse operation career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Warehouse Operations,Your experience increasing efficiency and accuracy across multiple warehouses,Came across your profile and couldn't avoid noticing your extensive experience in increasing efficiency and accuracy across multiple warehouses and truck fleet management skills. Had to reach out!,Unresponsive,11/21/2022,
Director,Distribution,Your extensive distribution career ,"Super impressed with your distribution career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Distribution,Your logistic experience in healthcare ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your distribution expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Interested,10/3/2022,9/8/2022
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your extensive warehouse management experience,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Warehouse Operations,Operation expert + intelligence analyst!,"Came across your profile and was super impressed with your experience at US foods overseeing strategic operational projects, but even more impressed with your role as an intelligent analyst in the army. Had to reach out.",Unresponsive,10/27/2022,
Director,Warehouse Operations,Your career in warehouse operations ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Warehouse Operations,Your warehouse operations experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Supply Chain,Your supply chain knowledge ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Distribution,Veteran + expert in distribution ,Extremely impressed with your distribution background and curious about how you feel working in the private sector after eight years with the military. I'd value a chance to connect.,Unresponsive,8/16/2022,
VP,Supply Chain,Your extensive distribution experience ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr supply chain professionals - would love to connect.",Attempting to Contact,,
VP,Distribution,Your 20+ years of distribution & supply chain experience ,"Super impressed with your distribution & supply chain career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/15/2022,
Director,Distribution,Your extensive distribution career ,"Super impressed with your distribution career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
VP,Fulfillment,Your fulfillment operations background,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Fulfillment,Your experience in transportation,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Sr. Manager,Supply Chain,Your career in supply chain,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/19/2022,
Director,Fulfillment,Your experience in operations ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/12/2022,
Director,Fulfillment,Your experience with fulfillment services ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/20/2022,
Sr. Manager,Supply Chain,Your career in supply chain,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/8/2022,
Sr. Manager,Supply Chain,Supply chain training conversation ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/15/2022,
Sr. Manager,Supply Chain,Supply chain conversation,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/27/2022,
Head,Transportation,Your streamlining expertise,Stumbled upon your profile while down a bit of a rabbit hole and was compelled to reach out after seeing you've spent your career streamlining operations initiatives. Currently looking to source feedback on the project I'm working on from logistics leaders & would be grateful to gain your perspective.,Unresponsive,8/30/2022,
Director,Supply Chain,your 4 (almost) years at Wayfair! ,Impressed by your career that you highlighted on LinkedIn! Saw you were coming up on 4 years at Wayfair (congrats!) and thought you would be the perfect person for me to speak with.,Attempting to Contact,9/6/2022,
Director,Supply Chain,Your background in supply chain ,"Super impressed with your 10+ years of consultancy & supply chain career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/2/2022,
Director,Fulfillment,Your 17+ years of fulfillment & operations career ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr. Fulfillment & Operation Managers - would love to connect.",Attempting to Contact,,
Director,Transportation,Your 6+ years of transportation experience ,"Super impressed with your extensive transportation & operations experience and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/4/2022,
Director,Transportation,Your 8+ years of supply chain & transportation experience ,"Super impressed with your supply chain & transportation career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Transportation,15+ years experience in operation & logistics ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Attempting to Contact,,
Director,Distribution,Your 25+ years of distribution & training development career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/3/2022,
Director,Distribution,Over the years at Wegmans,Wanted to get in touch after coming across your impressive tenure over the years at Wegmans. Must be incredible to see such a quality grocery store grow over the years.. Would love to connect!,Attempting to Contact,,
VP,Supply Chain,Your supply chain & operations experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/16/2022,
VP,Distribution,Your distribution knowledge & experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Supply Chain,,,Attempting To Contact,,
Director,Supply Chain,Supply Chain Innovation Chat,Saw you were a speaker at World Trade Center Institute 2021 Women Spanning the Globe - had to reach out after looking you up!,Push (Follow Up Later),7/19/2022,7/19/2022
Vp,Supply Chain,Your Supply Chain Experience at Jack Daniels,It must be amazing to run the Global Supply Chain team for a quintessential American brand like Jack Daniels - had to reach out in hopes to learn from your experience with innovation in the field. ,Unresponsive,7/22/2022,
Vp,Supply Chain,Your 22+ Years at Schreiber,Saw you quoted on the Schreiber About page - had to reach out after looking you up! Your longevity there & work in Supply Chain leadership are impressive.,Unresponsive,7/26/2022,
Director,Supply Chain,Supply Chain Innovation,Saw you quoted on the Michael Food website - had to reach out after looking you up! Your work in Supply Chain leadership makes you the perfect person to learn from.,Unresponsive,,
Director,Logistics,Chat w/ the Father of Simulated Temperatures,"Know it's from a few years back, but read an article about CoreTemp that highlighted you as the ""Father of Simulated Product Temperatures"". With your background in Logistics and that title, how could I not reach out?",Interested,7/29/2022,7/14/2022
Manager,Supply Chain,Supply Chain Innovation Conversation,Impressed by the depth of your Supply Chain background for Ingredion - had to reach out. Curious to learn from your experience there & gain your perspective on my current project.,Attempting To Contact,7/20/2022,
Vp,Supply Chain,Supply Chain Chat,"Overall, your background is impressive. Your diverse experience in Supply Chain Ops (at companies like Kerry, Kellogg, etc) makes you the perfect person to learn from. Know this is a long shot, but I'd be honored to connect.",Attempting To Contact,,
Manager,Supply Chain,Transforming Strategic Vision into Tactical Reality,"First, loved the bit in your LinkedIn About ""transforms strategic vision into tactical reality"" - this resonated. Reaching out in hopes to learn from your experience as a leader in Supply Chain for Ingredion.",Unresponsive,,
Manager,Supply Chain,Your Perspective on Supply Chain,Noticed your almost 14 years experience with Ingredion - had to reach out! Your current work in Supply Chain & focus on Supply Chain Ops makes you the ideal person to gain perspective from.,Unresponsive,7/20/2022,
Director,Supply Chain,Supply Chain Transformation Conversation,"Noticed your focus on Supply Chain transformation & automation - had to reach out. Based on your experience, I'd love to gain your perspective on my current project.",Unresponsive,7/20/2022,
Manager,Supply Chain,Talking Supply Chain Finance,Was reading an article that highlighted KKR's majority investment in Refresco - decided to check out the Supply Chain team there. Your experience in Supply Chain Finance makes you the perfect person to learn from.,Unresponsive,,
Manager,Transportation,Your Perspective - Feedback for a Founder,Impressed by your longevity at Refresco - had to take a shot & reach out. Your background in warehouse ops makes you the perfect person to learn from.,Attempting To Contact,,
Manager,Logistics,Your Supply Chain Perspective,Was inspired to reach out after coming across your LinkedIn while checking out the Supply Chain leadership at Del Monte. Your experience is impressive & makes you the perfect person to learn from.,Unresponsive,,
Vp,Supply Chain,Your Perspective on Supply Chain Innovation,"Was recently reading an article that highlighted Tate & Lyle acquiring a dietary fiber business in China - made me think, who can I reach out to over there? Your experience stood out & makes you the perfect person to learn from.",Attempting To Contact,,
Director,Supply Chain,Longshot - Supply Chain Innovation Conversation,"Noticed your work in Supply Chain leadership for Monster while checking out the team there. Know it's kind of a long shot, but I'd love to gain your unique perspective.",Unresponsive,7/20/2022,
Director,Supply Chain,Your Work in Supply Chain Apps,Saw your work in Supply Chain Apps for Post & was compelled to reach out. Your experience makes you the perfect person to learn from & I'd love to gain your perspective on my current transportation management project.,Unresponsive,,
Vp,Supply Chain,Your Biz Talks talk,"Saw you led an ops talk at the 2019 Biz Talks event, would love to connect with a supply chain ops expert like yourself. ",Not Interested,7/26/2022,7/22/2022
Head,Supply Chain,Your AJOT article insights,"Read your comments in ""AGTC: Exporters express frustration with ocean carriers"" from your Shipper/Forwarder Perspective panel and had to reach out. ",Attempting To Contact,7/14/2022,
Vp,Supply Chain,Your Deli Market News feature,"Was reading about McCain's 2019 facility expansion in Oakbrook Terrace, IL and came across your comments in the article. Would be honored to connect with a veteran supply chain leader like yourself. ",Unresponsive,,
Director,Supply Chain,Your OSI Sustainability Blog feature,"Was reading your comments about group housed pork in a recent blog post, checking out your profile and had to reach out after seeing your 15+ years with OSI & current supply chain leadership. ",Attempting To Contact,7/13/2022,
Vp,Supply Chain,Your Gartner Supply Chain Symposium talk,Saw you're a veteran speaker at the Gartner Supply Chain Symposium and recently joined the University of Illinois ACES International Advisory Committee. Blown away by your supply chain leadership/ expertise and would be honored to connect. ,Unresponsive,7/20/2022,
Head,Supply Chain,Your Maryland Manufacturing Advisory Advisory Board talk,"Saw you spoke at a Maryland Manufacturing Advisory Advisory Board meeting a number of years back, are your still active with the group? Either way, would love to connect with a forward thinking manufacturing supply chain leader like yourself. ",Unresponsive,,
Vp,Supply Chain,Your Value Chain Network comments,Read your comments about E. & J. Gallo Winery's membership with the Value Chain Network and had to reach out after seeing your 20+ years heading up supply chain ops. ,Unresponsive,,
Manager,Supply Chain,Your supply chain finance expertise,"Given your expertise in supply chain finance over the last 17+ years with McCormick, I'd be thrilled to connect and hear your insight on my company as we plan our next steps forward.",Unresponsive,,
Director,Supply Chain,Question (for a supply chain finance expert),"Found your profile while checking out the TreeHouse leadership team & saw your supply chain finance experience, would love to connect. ",Unresponsive,7/18/2022,
Manager,Logistics,Innovation in logistics conversation ,Saw your expertise in distribution logistics & supply chain optimization in the food production industry. I can't think of a better person to reach out to.,Attempting To Contact,7/13/2022,
Manager,Supply Chain,Your Key Financial Results,"Saw your 3 areas of expertise; program management, supply chain, & continuous improvement and had to reach out. Your Key Financial Results speak for themselves, would be honored to connect. ",Unresponsive,,
Vp,Supply Chain,Your supply chain leadership,"Given your expertise in supply chain management, I'd be thrilled to connect and hear your insight on my company as we plan our next steps forward.",Unresponsive,,
